S_to_S;S_to_I;S_to_R;S_to_B;S_to_D;I_to_S;I_to_I;I_to_R;I_to_B;I_to_D;R_to_S;R_to_I;R_to_R;R_to_B;R_to_D;B_to_S;B_to_I;B_to_R;B_to_B;B_to_D;D_to_S;D_to_I;D_to_R;D_to_B;D_to_D
истина;истина;истина;истина;истина;1;1;1;1;1;3,545;3,545;3,545;3,545;3,545;true;true;true;true;true;29.02.2024 23:59:58;29.02.2024 23:59:58;29.02.2024 23:59:58;29.02.2024 23:59:58;29.02.2024 23:59:58
FALSE;FALSE;FALSE;FALSE;FALSE;0;0;0;0;0;-42,2;-42,2;-42,2;-42,2;-42,2;false;false;false;false;false;01.01.2000 00:00:00;01.01.2000 00:00:00;01.01.2000 00:00:00;01.01.2000 00:00:00;01.01.2000 00:00:00
3,545;3,545;3,545;3,545;3,545;-2;-2;-2;-2;-2;0;0;0;0;0;true;true;true;true;true;30.12.1899 00:00:00;30.12.1899 00:00:00;30.12.1899 00:00:00;30.12.1899 00:00:00;30.12.1899 00:00:00
-42,2;-42,2;-42,2;-42,2;-42,2;123;123;123;123;123;1,5;1,5;1,5;1,5;1,5;false;false;false;false;false;31.12.1899 12:00:00;31.12.1899 12:00:00;31.12.1899 12:00:00;31.12.1899 12:00:00;31.12.1899 12:00:00
29.02.2024 23:59:58;29.02.2024 23:59:58;29.02.2024 23:59:58;29.02.2024 23:59:58;29.02.2024 23:59:58;42;42;42;42;42;-1,5;-1,5;-1,5;-1,5;-1,5;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"";"";"";"";"";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;false;false;false;false;false;01.01.1900 01:02:03;01.01.1900 01:02:03;01.01.1900 01:02:03;01.01.1900 01:02:03;01.01.1900 01:02:03
NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;123,875;123,875;123,875;123,875;123,875;true;true;true;true;true;12.09.2026 13:14:15;12.09.2026 13:14:15;12.09.2026 13:14:15;12.09.2026 13:14:15;12.09.2026 13:14:15
東京;東京;東京;東京;東京;1;1;1;1;1;2,5;2,5;2,5;2,5;2,5;true;true;true;true;true;01.01.2020 00:00:01;01.01.2020 00:00:01;01.01.2020 00:00:01;01.01.2020 00:00:01;01.01.2020 00:00:01
0;0;0;0;0;-7;-7;-7;-7;-7;-2,5;-2,5;-2,5;-2,5;-2,5;false;false;false;false;false;31.12.2020 23:59:59;31.12.2020 23:59:59;31.12.2020 23:59:59;31.12.2020 23:59:59;31.12.2020 23:59:59
-1;-1;-1;-1;-1;9;9;9;9;9;0,0001234567890123456;0,0001234567890123456;0,0001234567890123456;0,0001234567890123456;0,0001234567890123456;true;true;true;true;true;01.01.2001 12:34:56;01.01.2001 12:34:56;01.01.2001 12:34:56;01.01.2001 12:34:56;01.01.2001 12:34:56
