Id;Amount;Count;Note;Untouched
1;NULL;NULL;NULL;0
2;10;2;text;0
3;10;2;text;0
4;10;2;text;0
5;10;2;text;0
6;10;2;text;0
7;10;2;text;0
8;10;2;text;0
9;10;2;text;0
10;10;2;text;0
11;10;2;text;0
12;10;2;text;0
13;10;2;text;0
14;10;2;text;0
15;10;2;text;0
16;10;2;text;0
17;10;2;text;0
18;10;2;text;0
19;10;2;text;0
20;10;2;text;0
21;10;2;text;0
22;10;2;text;0
23;10;2;text;0
24;10;2;text;0
25;10;2;text;0
26;10;2;text;0
27;10;2;text;0
28;10;2;text;0
29;10;2;text;0
30;10;2;text;0
31;10;2;text;0
32;10;2;text;0
33;10;2;text;0
34;10;2;text;0
35;10;2;text;0
36;10;2;text;0
37;10;2;text;0
38;10;2;text;0
39;10;2;text;0
40;10;2;text;0
41;10;2;text;0
42;10;2;text;0
43;10;2;text;0
44;10;2;text;0
45;10;2;text;0
46;10;2;text;0
47;10;2;text;0
48;10;2;text;0
49;10;2;text;0
50;10;2;text;0
51;10;2;text;0
52;10;2;text;0
53;10;2;text;0
54;10;2;text;0
55;10;2;text;0
56;10;2;text;0
57;10;2;text;0
58;10;2;text;0
59;10;2;text;0
60;10;2;text;0
61;10;2;text;0
62;10;2;text;0
63;10;2;text;0
64;10;2;text;0
65;10;2;text;0
66;10;2;text;0
67;10;2;text;0
68;10;2;text;0
69;10;2;text;0
70;10;2;text;0
71;10;2;text;0
72;10;2;text;0
73;10;2;text;0
74;10;2;text;0
75;10;2;text;0
76;10;2;text;0
77;10;2;text;0
78;10;2;text;0
79;10;2;text;0
80;10;2;text;0
81;10;2;text;0
82;10;2;text;0
83;10;2;text;0
84;10;2;text;0
85;10;2;text;0
86;10;2;text;0
87;10;2;text;0
88;10;2;text;0
89;10;2;text;0
90;10;2;text;0
91;10;2;text;0
92;10;2;text;0
93;10;2;text;0
94;10;2;text;0
95;10;2;text;0
96;10;2;text;0
97;10;2;text;0
98;10;2;text;0
99;10;2;text;0
100;10;2;text;0
101;10;2;text;0
102;10;2;text;0
103;10;2;text;0
104;10;2;text;0
105;10;2;text;0
106;10;2;text;0
107;10;2;text;0
108;10;2;text;0
109;10;2;text;0
110;10;2;text;0
111;10;2;text;0
112;10;2;text;0
113;10;2;text;0
114;10;2;text;0
115;10;2;text;0
116;10;2;text;0
117;10;2;text;0
118;10;2;text;0
119;10;2;text;0
120;10;2;text;0
